"work","citedwork"
"https://semopenalex.org/work/W2886177168","https://semopenalex.org/work/W2793102014"
"https://semopenalex.org/work/W2886177168","https://semopenalex.org/work/W2767656371"
"https://semopenalex.org/work/W2886177168","https://semopenalex.org/work/W2765900923"
"https://semopenalex.org/work/W2886177168","https://semopenalex.org/work/W2789251622"
"https://semopenalex.org/work/W2786597370","https://semopenalex.org/work/W2610831004"
"https://semopenalex.org/work/W2794323030","https://semopenalex.org/work/W2765314233"
"https://semopenalex.org/work/W2794323030","https://semopenalex.org/work/W2766903152"
"https://semopenalex.org/work/W2794323030","https://semopenalex.org/work/W2782333299"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2800405451"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2791506170"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2796643083"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2890023956"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2787835497"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2792171579"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2810097927"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2865352686"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2793688609"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2804669050"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2807121348"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2753499567"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2800159963"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2802078831"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2782516148"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2800533919"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2783370123"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2791597969"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2766146123"
"https://semopenalex.org/work/W2896986869","https://semopenalex.org/work/W2789612591"
