"conceptTitel","countWork"
"Medicine","1383"
"Internal medicine","1353"
"Materials science","648"
"Nanotechnology","622"
"Cancer","1476"
"Cancer therapy","1476"
"Biology","534"
"Gene","147"
"Genetics","204"
"White (mutation)","1"
"Artificial intelligence","24"
"Computer science","125"
"Biomedical engineering","68"
"Oncology","270"
"Perspective (graphical)","8"
"Biomaterial","1"
"Medical physics","90"
"Drug delivery","245"
"Cancer drugs","30"
"Chemistry","507"
"Biochemistry","328"
"Protein–protein interaction","1"
"Enzyme","39"
"Organic chemistry","249"
"Molecule","7"
"Covalent bond","5"
"Stereochemistry","10"
"Hydrogen bond","1"
"Biophysics","63"
"Plasma protein binding","2"
"van der Waals force","1"
"Non-covalent interactions","1"
"Residue (chemistry)","1"
"Covalent binding","1"
"In vitro","50"
"Pharmacology","296"
"Drug","185"
"Targeted drug delivery","58"
"Drug carrier","25"
"Nanocarriers","72"
"Dendrimer","14"
"Biodistribution","11"
"Oxide","4"
"Porosity","2"
"Nanomaterials","52"
"Photothermal therapy","119"
"Iron oxide","3"
"Immunology","118"
"Receptor","37"
"Immunotherapy","79"
"Gut flora","1"
"Immune checkpoint","17"
"PD-L1","5"
"Blockade","13"
"Ecology","18"
"Key (lock)","4"
"Nanomedicine","104"
"Nanoparticle","258"
"Nanobiotechnology","4"
"Mathematical analysis","21"
"Mathematics","40"
"Conjugate","16"
"Anticancer drug","13"
"Cancer research","473"
"Myeloid","2"
"Myeloid cells","2"
"Computational biology","155"
"Glycosylation","1"
"Targeted therapy","83"
"Radiology","49"
"Medical imaging","5"
"In vivo","64"
"Cancer imaging","44"
"Molecular imaging","14"
"Polymer","49"
"Combinatorial chemistry","45"
"Controlled release","3"
"Smart polymer","4"
"Pathology","78"
"Phases of clinical research","1"
"Clinical trial","37"
"Response Evaluation Criteria in Solid Tumors","1"
"Precision medicine","21"
"Solid tumor","4"
"Physical chemistry","30"
"Metallurgy","55"
"Catalysis","39"
"Biocompatibility","43"
"Mesoporous material","18"
"Surface modification","25"
"Mesoporous silica","18"
"Cancer cell","151"
"Radiation therapy","113"
"Virus","10"
"Virology","17"
"Oncolytic virus","16"
"Cancer treatment","174"
"Virotherapy","9"
"Graphene","12"
"Genetic enhancement","27"
"Redox","8"
"Engineering","74"
"Chemical engineering","27"
"Microsphere","1"
"Liposome","26"
"DNA","32"
"Bioinformatics","133"
"Personalized medicine","19"
"Circulating tumor DNA","4"
"DNA sequencing","3"
"Liquid biopsy","4"
"Cancer Medicine","11"
"Surface plasmon resonance","2"
"Colloidal gold","25"
"Cell biology","63"
"Peptide","12"
"Extracellular vesicles","5"
"Computer security","14"
"Risk assessment","1"
"Epigenetics","12"
"Microbiology","21"
"Chemotherapy","85"
"Stem cell","14"
"Progenitor cell","1"
"Drug resistance","18"
"Cancer stem cell","20"
"Combination therapy","20"
"Signal transduction","8"
"Hedgehog signaling pathway","1"
"Hedgehog","1"
"Family medicine","21"
"Intensive care medicine","131"
"Biomarker","15"
"Clinical Practice","7"
"Companion diagnostic","1"
"Immune system","66"
"Cancer immunotherapy","47"
"Exploit","1"
"Biocompatible material","14"
"Nanostructure","6"
"Receiver operating characteristic","1"
"Multiple drug resistance","7"
"Cancer chemotherapy","15"
"Apoptosis","50"
"Glycolipid","1"
"Aqueous solution","20"
"Micelle","19"
"Celastrol","1"
"Programmed cell death","12"
"Caspase","1"
"Intrinsic apoptosis","1"
"Transcription factor","8"
"SOX2","1"
"Nanocomposite","4"
"Tumor microenvironment","25"
"Sociology","17"
"Anthropology","1"
"Angiogenesis","18"
"Blood vessel","1"
"Neovascularization","1"
"VEGF receptors","2"
"Vascular endothelial growth factor","1"
"Normalization (sociology)","1"
"Molecular biology","21"
"Conjugated system","10"
"Aptamer","24"
"Oxygen","23"
"Reactive oxygen species","17"
"Photochemistry","22"
"Photodynamic therapy","105"
"Photosensitizer","20"
"Transfection","5"
"Singlet oxygen","7"
"Phototoxicity","3"
"Cationic liposome","3"
"Psychiatry","14"
"Psychology","34"
"Psychotherapist","21"
"Physical therapy","20"
"Psychological intervention","2"
"Physical activity","1"
"Traditional medicine","17"
"Medicinal plants","3"
"Childhood cancer","5"
"Bioavailability","5"
"SAFER","5"
"Mitochondrion","11"
"Adjuvant","3"
"Hyperthermia","15"
"Pancreatic cancer","12"
"Gemcitabine","4"
"Ovarian cancer","9"
"Skin cancer","8"
"Dermatology","9"
"Doxorubicin","28"
"Cardiotoxicity","11"
"Prostate cancer","18"
"Photothermal effect","11"
"Polymer chemistry","17"
"Quantum dot","7"
"Physics","112"
"Programming language","8"
"Surgery","54"
"Optics","46"
"Nursing","27"
"Laser","3"
"Breast cancer","59"
"Quality of life (healthcare)","18"
"Head and neck cancer","11"
"Side effect (computer science)","4"
"Mucositis","5"
"Low level laser therapy","1"
"Lymphedema","1"
"Laser therapy","1"
"Philosophy","22"
"Linguistics","9"
"Composition (language)","1"
"Cationic polymerization","1"
"Disease","37"
"Heart failure","9"
"Cardiomyopathy","2"
"Survivorship curve","4"
"Subclinical infection","4"
"Cancer survivorship","3"
"Silver nanoparticle","2"
"Nanotoxicology","2"
"Pediatrics","3"
"Pain medicine","3"
"Anesthesiology","3"
"Nursing research","3"
"Mononuclear phagocyte system","1"
"Therapeutic effect","2"
"Radioresistance","2"
"Function (biology)","10"
"Bcl-2 family","2"
"Protein family","1"
"Intracellular","16"
"Biotechnology","71"
"Metastatic breast cancer","3"
"Fluorescence","29"
"Visualization","2"
"Förster resonance energy transfer","2"
"Fluorescence-lifetime imaging microscopy","11"
"Nanoprobe","3"
"Population","10"
"Environmental health","11"
"Drug development","8"
"Cancer biomarkers","3"
"Cyclodextrin","3"
"Angiogenin","1"
"Self-assembly","2"
"Antibody","30"
"Monoclonal","2"
"Monoclonal antibody","18"
"Epithelial cell adhesion molecule","1"
"Paleontology","27"
"Drug discovery","16"
"Natural (archaeology)","4"
"Carcinogenesis","8"
"Lactate dehydrogenase","1"
"Evolutionary biology","4"
"Clinical Oncology","7"
"Surgical oncology","4"
"Psycho-oncology","2"
"Gynecologic oncology","2"
"Tissue engineering","3"
"Antibody therapy","6"
"Isolation (microbiology)","2"
"Glioblastoma","6"
"Magnetic hyperthermia","8"
"Magnetic nanoparticles","20"
"Dosing","3"
"T cell","5"
"CTLA-4","2"
"Metabolomics","2"
"Tamoxifen","1"
"Letrozole","1"
"Palbociclib","1"
"Adsorption","7"
"Nanoscopic scale","4"
"Metal-organic framework","7"
"Metastasis","22"
"Iron oxide nanoparticles","6"
"Antioxidant","8"
"Selenium","5"
"Soft tissue","1"
"Cancer prevention","6"
"Quantum mechanics","39"
"Organelle","6"
"Cytoplasm","3"
"Boron","12"
"BODIPY","1"
"Subcellular localization","1"
"RNA","22"
"RNA interference","5"
"Botany","11"
"Camptothecin","3"
"Plant use of endophytic fungi in defense","1"
"Podophyllotoxin","1"
"Vinca","1"
"Aggregation-induced emission","3"
"Rational design","7"
"Cytotoxicity","11"
"Nucleic acid","6"
"Gene delivery","8"
"Omics","3"
"Machine learning","5"
"Value (mathematics)","1"
"Magnetic resonance imaging","15"
"Pharmacokinetics","2"
"In silico","4"
"Docking (animal)","1"
"Algorithm","2"
"Esophageal cancer","5"
"Residual","1"
"Bacteria","12"
"Escherichia coli","1"
"Bacteriophage","1"
"Phage therapy","1"
"Cell","31"
"Dendritic cell","2"
"Cell therapy","5"
"Tumor cells","20"
"Notch signaling pathway","1"
"Internalization","5"
"Neuroendocrine tumors","1"
"Recombinant DNA","6"
"Vaccinia","1"
"Myxoma virus","1"
"MAPK/ERK pathway","3"
"Signalling","3"
"Signalling pathways","3"
"Alternative medicine","17"
"Aromatherapy","1"
"Massage","1"
"Reflexology","1"
"Referral","1"
"Complementary therapy","1"
"Archaeology","6"
"Geography","5"
"Introduced species","1"
"Alliance","1"
"Context (archaeology)","19"
"Control engineering","1"
"Closed loop","1"
"Feedback loop","1"
"Site of action","2"
"Tumor hypoxia","8"
"Developmental psychology","1"
"Rating scale","1"
"Randomized controlled trial","5"
"Exercise therapy","1"
"Chronic fatigue syndrome","1"
"Cancer-related fatigue","3"
"Neuroscience","17"
"Cause of death","3"
"Epistemology","13"
"Chitosan","12"
"Simple (philosophy)","2"
"Berberine","2"
"Lupeol","2"
"Resveratrol","2"
"Curcumin","7"
"Venom","1"
"Snake venom","1"
"Political science","21"
"Law","19"
"Radiation treatment planning","4"
"Proton therapy","17"
"Dilemma","1"
"Ethical dilemma","1"
"Central nervous system","3"
"Particle therapy","5"
"Pediatric cancer","3"
"Composite material","66"
"Modal","3"
"Pathological","2"
"Cancer cachexia","1"
"Cachexia","1"
"Endurance training","1"
"Geometry","6"
"Copolymer","13"
"Nano-","12"
"Polymer science","1"
"Amphiphile","7"
"Block (permutation group theory)","1"
"Porphyrin","7"
"Gerontology","8"
"Viral load","3"
"Antiretroviral therapy","3"
"Human immunodeficiency virus (HIV)","4"
"Cancer incidence","1"
"Incidence (geometry)","2"
"Radiodermatitis","1"
"Adaptability","1"
"Mechanism (biology)","10"
"Platelet","2"
"Hemostasis","1"
"Pathogenesis","2"
"Autophagy","17"
"Metabolism","12"
"Drug metabolism","1"
"Cellular metabolism","3"
"Probabilistic logic","1"
"Drug response","2"
"Organoid","3"
"3d model","1"
"Nutraceutical","1"
"Mechanical engineering","10"
"Prodrug","13"
"Click chemistry","3"
"Bioorthogonal chemistry","2"
"Adept","7"
"Limiting","5"
"Gene expression","12"
"DNA methylation","10"
"Liver cancer","10"
"Epigenetic therapy","7"
"Aqueous medium","1"
"Adverse effect","17"
"Endocytosis","2"
"Health care","5"
"Biomedicine","9"
"Moringa","1"
"Positron emission tomography","5"
"Nuclear medicine","28"
"Preclinical imaging","3"
"Single-photon emission computed tomography","1"
"Nuclear imaging","2"
"Cancer detection","9"
"Tumor necrosis factor alpha","4"
"Cytokine","2"
"Albumin","4"
"Serum albumin","1"
"Bovine serum albumin","1"
"Cytarabine","1"
"Daunorubicin","2"
"Data science","3"
"Food science","4"
"Essential oil","1"
"Antimicrobial","5"
"Terpene","1"
"Social science","15"
"Therapeutic modalities","2"
"Modalities","13"
"Pencil-beam scanning","1"
"Head and neck","6"
"Proteasome","2"
"Ubiquitin","4"
"Repurposing","3"
"Deubiquitinating enzyme","2"
"Drug repositioning","4"
"Membrane","15"
"Vesicle","3"
"Niosome","1"
"TLR4","1"
"Broad spectrum","1"
"Electrospinning","2"
"Xanthone","1"
"Gambogic acid","1"
"microRNA","17"
"Treatment modality","6"
"Leukemia","4"
