"concept","conceptTitle"
"https://semopenalex.org/concept/C104317684","Gene"
"https://semopenalex.org/concept/C190283241","Apoptosis"
"https://semopenalex.org/concept/C203014093","Immunology"
"https://semopenalex.org/concept/C2776914184","Inflammation"
"https://semopenalex.org/concept/C2777730290","NF-κB"
"https://semopenalex.org/concept/C54355233","Genetics"
"https://semopenalex.org/concept/C62478195","Signal transduction"
"https://semopenalex.org/concept/C17991360","Tumor necrosis factor alpha"
"https://semopenalex.org/concept/C184235292","Kinase"
"https://semopenalex.org/concept/C137355542","World War II"
"https://semopenalex.org/concept/C143409427","Magnetic resonance imaging"
"https://semopenalex.org/concept/C2780640218","Multiple sclerosis"
"https://semopenalex.org/concept/C142724271","Pathology"
"https://semopenalex.org/concept/C2781069245","Tuberculosis"
"https://semopenalex.org/concept/C159654299","Antibody"
"https://semopenalex.org/concept/C163764329","Autoantibody"
"https://semopenalex.org/concept/C501734568","Mutation"
"https://semopenalex.org/concept/C141071460","Surgery"
"https://semopenalex.org/concept/C2778690821","Cytokine"
"https://semopenalex.org/concept/C8891405","Immune system"
"https://semopenalex.org/concept/C2777164284","Estrogen"
"https://semopenalex.org/concept/C36454342","Radiography"
"https://semopenalex.org/concept/C71315377","Hormone"
"https://semopenalex.org/concept/C2779134260","Disease"
"https://semopenalex.org/concept/C41091548","Epigenetics"
"https://semopenalex.org/concept/C552990157","DNA"
"https://semopenalex.org/concept/C30481170","Chromosome"
"https://semopenalex.org/concept/C2780674031","Cancer immunotherapy"
"https://semopenalex.org/concept/C148738053","Cellular differentiation"
"https://semopenalex.org/concept/C2775934546","Biopsy"
"https://semopenalex.org/concept/C2777542201","Fluorescence in situ hybridization"
"https://semopenalex.org/concept/C529295009","Epithelium"
"https://semopenalex.org/concept/C544855455","Histopathology"
"https://semopenalex.org/concept/C549673821","Anatomical pathology"
"https://semopenalex.org/concept/C553184892","Flow cytometry"
"https://semopenalex.org/concept/C57742111","Histology"
"https://semopenalex.org/concept/C202751555","In vitro"
"https://semopenalex.org/concept/C2775960820","Growth factor"
"https://semopenalex.org/concept/C29537977","Cell cycle"
"https://semopenalex.org/concept/C75217442","Protein kinase B"
"https://semopenalex.org/concept/C2780192828","Prostate cancer"
"https://semopenalex.org/concept/C61367390","Androgen receptor"
"https://semopenalex.org/concept/C205260736","Heat shock protein"
"https://semopenalex.org/concept/C25602115","Ubiquitin"
"https://semopenalex.org/concept/C2776925932","Neurodegeneration"
"https://semopenalex.org/concept/C109159458","Haematopoiesis"
"https://semopenalex.org/concept/C181152851","Lymphatic system"
"https://semopenalex.org/concept/C2777761686","Lymphocyte"
"https://semopenalex.org/concept/C2778488018","White blood cell"
"https://semopenalex.org/concept/C2780381497","Fibroblast"
"https://semopenalex.org/concept/C2780849966","Lymph node"
"https://semopenalex.org/concept/C518705261","Connective tissue"
"https://semopenalex.org/concept/C138816342","Public health"
"https://semopenalex.org/concept/C2780472235","Mammography"
"https://semopenalex.org/concept/C530470458","Breast cancer"
"https://semopenalex.org/concept/C2778491387","Breast cancer screening"
"https://semopenalex.org/concept/C2779328170","X-ray"
"https://semopenalex.org/concept/C138626823","Chromosomal translocation"
"https://semopenalex.org/concept/C152000582","Anoikis"
"https://semopenalex.org/concept/C2779013556","Metastasis"
"https://semopenalex.org/concept/C31573885","Programmed cell death"
"https://semopenalex.org/concept/C96232424","Cancer cell"
"https://semopenalex.org/concept/C2780394083","Angiogenesis"
"https://semopenalex.org/concept/C503630168","Necrosis"
"https://semopenalex.org/concept/C76419328","Epithelial–mesenchymal transition"
"https://semopenalex.org/concept/C93304396","Mitosis"
"https://semopenalex.org/concept/C98424977","Caspase"
"https://semopenalex.org/concept/C31601959","Medical imaging"
"https://semopenalex.org/concept/C2779234561","Pregnancy"
"https://semopenalex.org/concept/C111599444","Genetic enhancement"
"https://semopenalex.org/concept/C2776938444","Cystic fibrosis"
"https://semopenalex.org/concept/C2778620579","Sickle cell anemia"
"https://semopenalex.org/concept/C2778908642","Genetic disorder"
"https://semopenalex.org/concept/C2780647506","Huntington's disease"
"https://semopenalex.org/concept/C2780673598","Genetic testing"
"https://semopenalex.org/concept/C80227256","Genetic counseling"
"https://semopenalex.org/concept/C2777663904","Blood vessel"
"https://semopenalex.org/concept/C509974204","Radiation therapy"
"https://semopenalex.org/concept/C2777416452","Brachytherapy"
"https://semopenalex.org/concept/C2779244869","Proton therapy"
"https://semopenalex.org/concept/C143998085","Oncology"
"https://semopenalex.org/concept/C2780225610","Cataracts"
"https://semopenalex.org/concept/C2780362710","Bcl-2-associated X protein"
"https://semopenalex.org/concept/C2780837026","Grief"
"https://semopenalex.org/concept/C190727270","DNA methylation"
"https://semopenalex.org/concept/C2779734285","Parkinson's disease"
"https://semopenalex.org/concept/C541997718","Ischemia"
"https://semopenalex.org/concept/C201903717","Cohort study"
"https://semopenalex.org/concept/C107130276","Epidemiology"
"https://semopenalex.org/concept/C27081682","Placebo"
"https://semopenalex.org/concept/C168563851","Randomized controlled trial"
