"conceptTitle","countWork"
"Medicine","1304"
"Internal medicine","1141"
"Inflammation","15"
"Pathology","114"
"Disease","59"
"Cancer","1190"
"Chemotherapy","105"
"Dermatology","7"
"Inflammatory Bowel Diseases","1"
"Ulcerative colitis","1"
"Intensive care medicine","85"
"Mucosal inflammation","1"
"Cancer therapy","841"
"Oral mucosa","2"
"Mucositis","4"
"Surgery","55"
"Bladder cancer","16"
"Retrospective cohort study","5"
"Materials science","805"
"Nanotechnology","772"
"Bioavailability","16"
"Pharmacology","352"
"Traditional medicine","12"
"Drug","282"
"Targeted drug delivery","158"
"Drug carrier","58"
"Drug delivery","399"
"Blood circulation","2"
"Anticancer drug","59"
"Systemic circulation","4"
"Biology","656"
"Cancer cell","209"
"Bioinformatics","209"
"Cancer research","491"
"Computational biology","155"
"Energy metabolism","39"
"Cancer treatment","238"
"Immunology","194"
"Immune system","116"
"Cancer immunotherapy","74"
"Radiation therapy","88"
"Oncology","184"
"Immunotherapy","133"
"Abscopal effect","4"
"Therapeutic effect","6"
"Nanocarriers","137"
"Chemistry","631"
"Composite material","82"
"Polymer","57"
"Controlled release","11"
"Smart polymer","2"
"Organic chemistry","326"
"Biotechnology","102"
"In vivo","106"
"Combinatorial chemistry","67"
"Aqueous solution","11"
"Micelle","11"
"Nanomedicine","200"
"Nanoparticle","396"
"Applications of nanotechnology","38"
"Genetics","244"
"Engineering","75"
"Biocompatible material","49"
"Biomedical engineering","108"
"Biochemical engineering","10"
"Natural polymers","5"
"Molecular biology","12"
"Conjugated system","15"
"Aptamer","11"
"Biochemistry","369"
"Receptor","42"
"Biomolecule","21"
"Biophysics","55"
"Liposome","40"
"Iron oxide nanoparticles","30"
"Colloidal gold","63"
"Internalization","7"
"Physics","156"
"Optics","81"
"Peptide","14"
"Focus (optics)","4"
"Physical therapy","28"
"Family medicine","26"
"Medication therapy management","12"
"Pharmacy","13"
"Pharmacist","12"
"Radiology","47"
"Magnetic resonance imaging","20"
"Physical chemistry","52"
"Metallurgy","128"
"Biocompatibility","108"
"Photothermal therapy","248"
"Hyperthermia therapy","7"
"Magnetic hyperthermia","23"
"Surface modification","46"
"Magnetic nanoparticles","54"
"Antibody","27"
"Monoclonal antibody","16"
"Antibody therapy","3"
"Bispecific antibody","3"
"Targeted therapy","70"
"Monoclonal","1"
"Immune checkpoint","44"
"CD47","1"
"Blinatumomab","1"
"Blocking antibody","3"
"CD19","2"
"Mathematics","38"
"Mathematics education","2"
"Chemical engineering","24"
"Polymer chemistry","25"
"Macromolecule","3"
"Alternative medicine","20"
"Cell encapsulation","2"
"Fabrication","5"
"Microfluidics","5"
"Self-healing hydrogels","14"
"Microparticle","2"
"Nanoscopic scale","12"
"Biosensor","16"
"Microscale chemistry","2"
"Enzyme","33"
"In vitro","74"
"Antioxidant","9"
"Glutathione","9"
"Hepatoprotection","1"
"Gene","183"
"Infectious disease (medical specialty)","5"
"Microbiome","16"
"Metagenomics","3"
"Human microbiome","6"
"Oral Microbiome","1"
"Ecology","18"
"Toxicology","1"
"Developing country","1"
"Low and middle income countries","1"
"Cause of death","1"
"Cancer drugs","35"
"Graphene","115"
"Doxorubicin","46"
"Catalysis","79"
"Mesoporous material","42"
"Mesoporous silica","40"
"Computer science","120"
"Botany","14"
"Drug discovery","20"
"Identification (biology)","9"
"Photodynamic therapy","169"
"Toxicity","17"
"Nanomaterials","193"
"Paleontology","32"
"Context (archaeology)","25"
"Risk analysis (engineering)","13"
"Clinical trial","36"
